Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date,Original User Sentiment,include_terms_matched,exclude_terms_matched,include_match_count,exclude_match_count,topic_relevance_score,domain_similarity
Costco,codomain,1.9762627827830377e+18,https://x.com/humberwire/status/1976262782783037567,"Avoid Lorex Product(Lorex): {Veener- June 11, 2025- I bought the 8 camera NVR system from Costco 3 years ago and ever since I hardly ever see all 8 cameras online. Even though the sensor ligh...VER buy Lorex again.}👎(in a shell=&gt;Terrible Chinese Lorex)#2555608 https://t.co/ucMTOu9lM4",1958873548740861953,humberwire,False,17,,0,5,"October 9, 2025 at 12:25 PM",Negative,['costco'],[],1,0,1,0.05339552221101164
Costco,codomain,1.9762578052511788e+18,https://x.com/popular_tyrant/status/1976257805251178947,"About to walk into Costco like ‘2 morning hot dogs, my good man’",1784239990047707136,popular_tyrant,False,104,"Nova Scotia, Canada",0,13,"October 9, 2025 at 12:05 PM",Positive,['costco'],[],1,0,1,0.08984299137020835
Costco,codomain,1.9762556526003487e+18,https://x.com/DestryBrod/status/1976255652600348777,"I'm officially on Cameo now. So if you want me, the dude that made that Costco tweet 7 years ago to wish you a happy birthday or just a shout-out in general, I'm available. 

It will only cost you 675 bucks, so I'm basically doing it for free.",4449801194,DestryBrod,False,18344,"Chicago, IL now Michigan",1,98,"October 9, 2025 at 11:57 AM",Positive,['costco'],[],1,0,1,0.053068285938688606
Costco,codomain,1.976251506111468e+18,https://x.com/iamqmcgds/status/1976251506111467964,". #PutThatInYourPipe IF YOUR grocery is not listed below it's up to YOU to find out if YOUR produce has been drenched in APEEL!!! Groceries NOT accepting APEEL; Trader Joe's, Sprouts, Natural Grocers, Publix, H-E-B, Costco, Fresh Thyme, Wegmans! Still WONDERING WHY @Walmart/Sams",18266427,iamqmcgds,False,380,,1,32,"October 9, 2025 at 11:40 AM",Negative,['costco'],[],1,0,1,0.0660605933231344
Costco,codomain,1.9762393095828933e+18,https://x.com/Uniquecomics1/status/1976239309582893153,Just bought more physical silver. Quantity is getting low prices are getting high. Costco sold out. Costco online sold out. Can’t find any coins or bars anywhere.  Managed to get a 10 ounce bar ordered online.,1387578217570004994,Uniquecomics1,False,555,,0,30,"October 9, 2025 at 10:52 AM",Negative,['costco'],[],1,0,1,0.13312288125675129
Costco,codomain,1.9762326131584532e+18,https://x.com/PiltdownSupermn/status/1976232613158453328,"A video with several subjects, the first two were interesting to me: ""THESE Groceries Got Smaller; Fake Evite SCAM; Costco's Ozempic Deal""
https://t.co/Ew6ZOp4sfG",248445168,PiltdownSupermn,False,2570,"Kingston, NY",0,73,"October 9, 2025 at 10:25 AM",Positive,['costco'],[],1,0,1,0.055033960866801235
Costco,codomain,1.9762306426197076e+18,https://x.com/SCAR_HEART_01/status/1976230642619707540,"Fatigue. Guess who’s shopping at Costco now?

Wild video shows man punch fellow shopper in NYC Costco brawl over shopping cart https://t.co/0Yz4G0Z3Oc",1585948647707086849,SCAR_HEART_01,True,5023,"Monroe, louisiana",0,11,"October 9, 2025 at 10:17 AM",Negative,['costco'],[],1,0,1,0.052827280886069895
Costco,codomain,1.9762129575468076e+18,https://x.com/hollow_saba/status/1976212957546807695,"Well I was going to say this is stupid and he does not have the same verve as the Costco Guys, but apparently he cheated on his wife and then dropped a podcast justifying himself, which is kinda beast, so I guess I'll give him a chance",1676035089963315200,hollow_saba,False,152,だが、断る,0,26,"October 9, 2025 at 09:07 AM",Negative,['costco'],[],1,0,1,0.06593664744061632
Costco,codomain,1.976203508702384e+18,https://x.com/readersdigest/status/1976203508702384224,"Costco's done it again! This incredible new food court treat is worth a trip to the store, even if you're not buying anything else. https://t.co/pDEsIPQXYb",15592792,readersdigest,True,117471,,0,240,"October 9, 2025 at 08:30 AM",Positive,['costco'],[],1,0,1,0.09643517298125935
Costco,codomain,1.976194497597014e+18,https://x.com/mathyshrimp/status/1976194497597014067,I want to try something new at costco,1910536781008953346,mathyshrimp,False,16,,3,61,"October 9, 2025 at 07:54 AM",Positive,['costco'],[],1,0,1,0.05993398730132213
Costco,codomain,1.9761865757312497e+18,https://x.com/ashervents/status/1976186575731249506,going to costco tmrw and they have these i am going to hop on the mooncake tren (and their small and only 140 cals per and theres variety love me some variety) https://t.co/wkFusodsCx,1388948661099405313,ashervents,False,1677,he/him,3,50,"October 9, 2025 at 07:22 AM",Positive,['costco'],[],1,0,1,0.07180326701927349
Costco,codomain,1.9761696812340716e+18,https://x.com/rowan_cerise/status/1976169681234071600,"on the other hand 
the criminal gangs that steal vehicles and catalytic converters

I’m told they can have the catalytic converter off the car in something like three minutes
Although they often pick parking lot like CostCo where they know people will be in line for a long time
Since there’s no security at the Disneyland parking lot, I wonder how many people lose their catalytic converter there

Before Covid there was a vehicle stolen every six minutes in California, during Covid that rate increased to a vehicle stolen every 3 minutes

The FIB
Says that 80% of those vehicles end up south of the border

We could screen vehicles heading south of the border to control the theft of vehicles and the often violent carjacking that results in the deaths of adults and children

BUT GAVIN NEWSOM WOULD NEVER BOTHER DOING THAT

IT IS PART OF THE REASON OUR VEHICLE INSURANCE INCREASED OVER 50% IN THE PAST YEAR AND WILL PROBABLY GO UP AGAIN

Not only did Gavin destroy my small business with his draconian and erratic Covid lockdowns

But the increase in vehicle and home insurance, and our homeowners dues
the increase of other costs in California have added almost $250 a month to my basic cost of living,

On a 2.3% Social Security increase

I’m learning to hate these people
Arrogant liberal politicians

WHO DON’T GIVE A DAMN ABOUT WHAT HAPPENS TO THEIR POPULATION
And I still have a roof over my head, they haven’t managed to tear it down to build a housing project for Criminal illegals or burn my Neighbourhood to the ground yet

It’s a pity karma takes so long",1876018867782479872,rowan_cerise,False,567,"So Calif, USA",1,18,"October 9, 2025 at 06:15 AM",Negative,['costco'],[],1,0,1,0.09130630109198483
Costco,codomain,1.976168463388582e+18,https://x.com/taeji_min29/status/1976168463388582181,"Japanese Costco ✅✅ no matter how busy it is you hardly hear anyone yelling. It’s so peaceful. 
Spent 2 hours shopping and came out with 100,000 yen worth of goods 😅",1579225952755875847,taeji_min29,False,167,,3,93,"October 9, 2025 at 06:10 AM",Positive,['costco'],[],1,0,1,0.08234731744987536
Costco,codomain,1.9761434998975124e+18,https://x.com/StinkinAbraham/status/1976143499897512314,Me and the bad bitch I pulled by having a Costco membership https://t.co/HyZCHxlgzN,1306051453233102854,StinkinAbraham,False,218,"Hunters Creek Village, TX",2,75,"October 9, 2025 at 04:31 AM",Negative,"['costco', 'costco membership']",[],2,0,2,0.0609557447523355
Costco,codomain,1.9761390470649815e+18,https://x.com/BRRRCO/status/1976139047064981615,"ONE MAN PUNCHED ANOTHER ONE OVER A LOUSY SHOPPING CART AT COSTCO!!  A LOUSY SHOPPING CART!!  WHAT IS WRONG WITH PEOPLE!! 
https://t.co/G7vBGIhCWZ",1359098366643347463,BRRRCO,False,43536,,4,146,"October 9, 2025 at 04:13 AM",Negative,['costco'],[],1,0,1,0.05822643425295536
Costco,codomain,1.9761374104140723e+18,https://x.com/costcopharmacy/status/1976137410414072306,alright man (eating my 8th costco chicken bake in 8 days),108089347,costcopharmacy,False,407,tx,5,355,"October 9, 2025 at 04:07 AM",Positive,['costco'],[],1,0,1,0.06701251193278172
Costco,codomain,1.976133048757625e+18,https://x.com/zakmuK/status/1976133048757625146,I got stuck behind a guy at the Costco food court condiment station that had a plate of 5 glizzies. This is not an exaggeration,22705185,zakmuK,False,86,tucson,0,10,"October 9, 2025 at 03:50 AM",Negative,"['costco', 'costco food court']",[],2,0,2,0.07342916505290369
Costco,codomain,1.976131912952578e+18,https://x.com/Bella22549670/status/1976131912952578193,"You sound like my hubby,he was suppose to go get a massage after his Costco run but when he was leaving a woman literally try to have 3 employees stuff a washer in her ford focus…NEVER GONNA HAPPEN…her offered to load in his truck and take it home for her..
Thats what he said I love helping people..He wouldn’t take anything for it..A good Man I have I will keep him for another 56 yrs",1468518847406026754,Bella22549670,True,2874,,0,24,"October 9, 2025 at 03:45 AM",Positive,['costco'],[],1,0,1,0.10434792886559041
Costco,codomain,1.976122760490586e+18,https://x.com/wpgphotog/status/1976122760490586127,"Gonna start using it all the time…

“Start spreadin the news, bitches.. we’re going grocery shopping!”

“….we’re going to the dentist!”

“….we’re going to Costco!”

#WANTITALL",185405669,wpgphotog,False,1524,"Vancouver, British Columbia",5,118,"October 9, 2025 at 03:09 AM",Negative,['costco'],[],1,0,1,0.10976722549018567
Costco,codomain,1.9761200042456023e+18,https://x.com/rhcm123/status/1976120004245602411,"It’s fall, which means I can finally start dressing

You know I got that Costco drip on https://t.co/OdUMuhL25w",308222785,rhcm123,False,4983,"New Jersey, mostly",10,303,"October 9, 2025 at 02:58 AM",Positive,['costco'],[],1,0,1,0.0699090507535109
Costco,codomain,1.9761200100924744e+18,https://x.com/ChadJungleLoL/status/1976120010092474542,"Officially moved back to L.A and I feel like my new place has been fully settled in! Went to Costco and stocked up for the month, gonna try to grind streaming again for the (13th time or something XD SORRY). Link to stream below! :D https://t.co/lTWbsj8HgH",718260406838497281,ChadJungleLoL,False,1301,Los Angeles,12,1029,"October 9, 2025 at 02:58 AM",Positive,['costco'],[],1,0,1,0.07950488345734893
Costco,codomain,1.97611808460492e+18,https://x.com/naisha025/status/1976118084604920120,"Yay! My daughter and I were able to get the Novavax today in Missouri at Costco. They turned us away last week. Said we needed a prescription. Today, a prescription was no longer needed.",1243257808298090496,naisha025,False,64,"Kansas City, MO",0,29,"October 9, 2025 at 02:50 AM",Positive,['costco'],[],1,0,1,0.0763555367204371
Costco,codomain,1.9761128438933752e+18,https://x.com/VanFlanker/status/1976112843893375278,Observed someone taking back dead trees at Costco tonight. I regret not sticking around to hear his story.,65476781,VanFlanker,False,215,Vancouver,0,7,"October 9, 2025 at 02:29 AM",Negative,['costco'],[],1,0,1,0.053387651183347686
Costco,codomain,1.9761121587371092e+18,https://x.com/kloveaggs/status/1976112158737109210,"Gas 2.39 at Costco the lowest I have seen in a long long time. 

So good to see gas prices finally falling. Hopefully it will help prices in other areas over time if it's here to stay.",586194892,kloveaggs,True,3438,"Texas, USA",1,193,"October 9, 2025 at 02:27 AM",Positive,['costco'],[],1,0,1,0.08851552184540179
Costco,codomain,1.9761103876166784e+18,https://x.com/JT_V_94/status/1976110387616678203,"Crazy how gold is $130 a gram now and silver is $49 an oz.

Thank god I collected silver like a mf as a kid I just did the math and I have at least over $1000 in silver and over $12,000 in gold 
( @costco sells oz bars of gold)",1952813656011337728,JT_V_94,False,115,"Oakland, CA",1,23,"October 9, 2025 at 02:20 AM",Positive,['costco'],[],1,0,1,0.06881822488623635
Costco,codomain,1.9761097470751544e+18,https://x.com/marchorowitz/status/1976109747075154425,I just wanna buy more and more shit from costco all the time 🧠🪱,761731,marchorowitz,False,2714,"Los Angeles, CA",3,110,"October 9, 2025 at 02:17 AM",Negative,['costco'],[],1,0,1,0.05571383270390696
Costco,codomain,1.9761087539144087e+18,https://x.com/MarcWhittemore/status/1976108753914409066,WILDLY MISINFORMED... unless your brown eggs are bought direcly from the farmer the bloom is still washed off the brown eggs! Including and especially Costco's brown eggs  --misinformation like this CAN KILL!! If not make you very very sick.,1900664583825879043,MarcWhittemore,True,867,,0,13,"October 9, 2025 at 02:13 AM",Negative,['costco'],[],1,0,1,0.05701455638120095
Costco,codomain,1.976108352372605e+18,https://x.com/frugalfreebies/status/1976108352372605095,"✨ New Costco offer just dropped! ✨
1-Year Gold Star Membership = $65 + receive a $100 Costco promo code (with $200+ purchase). Limited-time deal!
👉 https://t.co/vcArwX7Lb2 (ad) https://t.co/XdaiDZaELY",17471812,frugalfreebies,False,3774,,0,16,"October 9, 2025 at 02:12 AM",Positive,['costco'],[],1,0,1,0.07018852278591502
Costco,codomain,1.97610382990626e+18,https://x.com/thatgirlslim/status/1976103829906260007,"Nigga at the bar tried to clown me cause he seen a pack of Costco ass wipes in my purse. Talm bout “damn baby, you ain’t have no travel size” 🤨🤨 mf I’m grown and the only thing that matters is my ass clean! I can wipe my ass, my hands, shit my face if sum get on it. Tf!?",179594441,thatgirlslim,False,463,,0,30,"October 9, 2025 at 01:54 AM",Negative,['costco'],[],1,0,1,0.06529941567358266
Costco,codomain,1.9760993476340288e+18,https://x.com/BowTiedCrow/status/1976099347634028826,Costco is a radicalizing experience now. Went right at 5 and I know the crowd wasn’t also just getting off. I think our unemployment rate is a gorillion percent higher than what’s being reported.,815802770536022016,BowTiedCrow,True,4047,Goblin Town,4,218,"October 9, 2025 at 01:36 AM",Negative,['costco'],[],1,0,1,0.07131572693382235
Costco,codomain,1.9760945552179855e+18,https://x.com/MapleMemoria/status/1976094555217985662,It still smells like Costco hotdogs in my car 😬,1730005455215497216,MapleMemoria,False,129,Hexblossom ,4,74,"October 9, 2025 at 01:17 AM",Negative,['costco'],[],1,0,1,0.06115460605317089
Costco,codomain,1.976091240069243e+18,https://x.com/thebigtime/status/1976091240069242955,"🍰 Costco’s pumpkin cheesecake is so good, people can’t even wait to get home. #Costco #Dessert
 https://t.co/X45XqnoiEg",26602990,thebigtime,True,3589,Nationwide 🌎,0,28,"October 9, 2025 at 01:04 AM",Positive,['costco'],[],1,0,1,0.07986579691998864
Costco,codomain,1.976087668330316e+18,https://x.com/blasiancreole/status/1976087668330316101,I just love snacking on saltines. I need to head on to Costco &amp; get em in bulk,1319335395121795072,blasiancreole,False,1068,,0,29,"October 9, 2025 at 12:49 AM",Positive,['costco'],[],1,0,1,0.08040072914093031
Costco,codomain,1.9760870766104084e+18,https://x.com/smellyfatdick/status/1976087076610408504,The lion doesn’t concern himself with the fact that his card declined a couple times trying to order a Costco hotdog,3389941354,smellyfatdick,False,284,,0,12,"October 9, 2025 at 12:47 AM",Negative,['costco'],[],1,0,1,0.05277822206423949
Costco,codomain,1.9760851089576184e+18,https://x.com/daviddashcoby/status/1976085108957618638,Going to Costco tipsy is NOT a good idea I’m about to buy a king mattress,2339356922,daviddashcoby,False,935,"New Orleans, LA",10,310,"October 9, 2025 at 12:39 AM",Negative,['costco'],[],1,0,1,0.11245347972864521
Costco,codomain,1.976083185579766e+18,https://x.com/gradeaxnae/status/1976083185579766130,So glad we went to Costco today but the traffic coming home was ridiculous,1329880712254722053,gradeaxnae,False,609,,0,51,"October 9, 2025 at 12:31 AM",Positive,['costco'],[],1,0,1,0.0838097208273251
Costco,codomain,1.9760621383104312e+18,https://x.com/CVTSoftServe/status/1976062138310431216,"We didn't announce the last Costco Road Show but here's the dirt on the next one...

We'll be in Boise, ID (2051. S Cole Road) tomorrow through Sunday!
 
What’s a Roadshow? Glad you asked...

""It’s a temporary, in-store event at select Costco locations where brands can showcase and sell their products directly to members through pop-ups, demos, and samples""

It's basically a way to prove to the powers that be whether or not we’re a viable brand to eventually earn a permanent spot on @Costco shelves. 

Tell your family. Tell your friends. Come buy our ice cream and help us impress the suits....k, love you bye!",596035197,CVTSoftServe,True,3455,"Los Angeles, CA",2,60,"October 8, 2025 at 11:08 PM",Positive,['costco'],[],1,0,1,0.09602453213437664
Costco,codomain,1.9760501135849551e+18,https://x.com/HollyBlomberg/status/1976050113584955475,"Hi @Costco I was about to congratulate you for stocking Novavax, but after making my appointment I just got a call that despite what your website says your pharmacy actually doesn’t have any. What happened?",258871381,HollyBlomberg,False,8865,Cascadia Subduction Zone,13,423,"October 8, 2025 at 10:20 PM",Positive,['costco'],[],1,0,1,0.055808574122875515
Costco,codomain,1.975901512753648e+18,https://x.com/readersdigest/status/1975901512753648090,"If it sounds too good to be true, it probably is. Here's why buying those Kirkland favorites on Amazon isn't a great idea. https://t.co/jpdv9Fm5qn",15592792,readersdigest,True,117471,,0,247,"October 8, 2025 at 12:30 PM",Positive,['kirkland'],[],1,0,1,0.08597972346073493
Costco,codomain,1.9756919726074184e+18,https://x.com/HobbJW/status/1975691972607418506,"Costco online has been out of silver bars for a few days now.  

Plenty of other places I can buy secondary still. 

But interesting to see they can’t/haven’t added more silver bars yet for sale.",1673382668229025811,HobbJW,False,467,Middle Earth ,1,42,"October 7, 2025 at 10:37 PM",Negative,['costco'],[],1,0,1,0.10408169237540785
Costco,codomain,1.9728113294184855e+18,https://x.com/Costco_Insider/status/1972811329418485760,"New Costco Weekly Insider Deals are here! https://t.co/QzpkvWp4lw There are several more pages of deals than the last two, so you might want to take a look...

#costco #costcoinsider #costcodeals #costcobuys #costcocoupons",161079363,Costco_Insider,True,12089,United States,1,603,"September 29, 2025 at 11:50 PM",Positive,['costco'],[],1,0,1,0.06651013983891634
Costco,codomain,1.968044519058006e+18,https://x.com/Costco_Insider/status/1968044519058006190,"Another new set of Costco Weekly Insider Deals are here! https://t.co/y83YurEfLH This weeks deals run from September 15th through September 21st. There's some very interesting NEW ITEMS that are called out in the Weekly Insider Deals posted too!

#costco #costcoinsider #costcodeals #costcobuys #costcocoupons #costcocouponbook #costcosavingsbook",161079363,Costco_Insider,True,12089,United States,1,753,"September 16, 2025 at 08:09 PM",Positive,['costco'],[],1,0,1,0.0552996636300825
Costco,codomain,1.957112771931484e+18,https://x.com/Costco_Insider/status/1957112771931484275,"We just dropped the upcoming Costco September 2025 Coupon Book! https://t.co/1jVqBek1J3 The Procter and Gamble Spend $100 Get $25 Shop Card promo is back! Do you usually take advantage of this deal?

#costco #costcoinsider #costcocouponbook #costcodeals #costcocoupons #costcobuys #procterandgamble #pandg",161079363,Costco_Insider,True,12089,United States,2,1562,"August 17, 2025 at 04:10 PM",Positive,['costco'],[],1,0,1,0.07326421372008515
Costco,codomain,1.9285985899888108e+18,https://x.com/Costco_Insider/status/1928598589988810958,"GIVEAWAY ALERT 🚨 Up to $1,599 in Prizes!

Enter for your chance to WIN:
🎁 Springfree Trampoline Bundle (13’ Jumbo Round All-Black Costco Exclusive: Includes built-in fun with FlexrHoop and FlexrStep) +
🎁 $100 Costco Gift Card.

ENTER FOR YOUR CHANCE TO WIN: https://t.co/TOOEIhKIUn

Make this summer unforgettable! ☀️

Giveaway hosted by Springfree Trampoline & @costcoinsider.

This promotion is in no way sponsored, endorsed, administered by, or associated with X. Valid in the continental US only.",161079363,Costco_Insider,True,12089,United States,0,2261,"May 30, 2025 at 11:45 PM",Positive,['costco'],[],1,0,1,0.06151022150471603
